powertrain_type,region,year,veh_cost,fuel_cost,insurance_euro,mr_euro,quartile,km,value,TCO,TCO_percent
BEV,western europe,2027,4564.188868285786,2.5338654433439998,1736.0684627660798,1041.6410776596479,Q1,2500,35,2.9620980179180454,1.036734306271316
BEV,western europe,2027,4564.188868285786,2.5338654433439998,1736.0684627660798,1041.6410776596479,Q2,10000,35,0.7595284953045913,0.26583497335660694
BEV,western europe,2027,4564.188868285786,2.5338654433439998,1736.0684627660798,1041.6410776596479,Q3,20000,20,0.3924335748690157,0.07848671497380315
BEV,western europe,2027,4564.188868285786,2.5338654433439998,1736.0684627660798,1041.6410776596479,Q4,40000,10,0.20888611465122783,0.020888611465122785
FCEV,western europe,2027,4885.254163021486,7.230412181519999,1805.4077558019553,1444.3262046415643,Q1,2500,35,3.3262993712012023,1.1642047799204207
FCEV,western europe,2027,4885.254163021486,7.230412181519999,1805.4077558019553,1444.3262046415643,Q2,10000,35,0.8858029341617005,0.3100310269565952
FCEV,western europe,2027,4885.254163021486,7.230412181519999,1805.4077558019553,1444.3262046415643,Q3,20000,20,0.47905352798845025,0.09581070559769005
FCEV,western europe,2027,4885.254163021486,7.230412181519999,1805.4077558019553,1444.3262046415643,Q4,40000,10,0.27567882490182516,0.027567882490182515
ICE-G,western europe,2028,4788.292043305061,8.756665488334006,1859.4,2169.3,Q1,2500,35,3.6143634722053646,1.2650272152718776
ICE-G,western europe,2028,4788.292043305061,8.756665488334006,1859.4,2169.3,Q2,10000,35,0.9692658592138461,0.3392430507248461
ICE-G,western europe,2028,4788.292043305061,8.756665488334006,1859.4,2169.3,Q3,20000,20,0.5284162570485931,0.10568325140971861
ICE-G,western europe,2028,4788.292043305061,8.756665488334006,1859.4,2169.3,Q4,40000,10,0.30799145596596655,0.030799145596596657
ICE-D,western europe,2028,4942.802919178087,7.420129500527649,1919.4,2239.3,Q1,2500,35,3.714802462676512,1.3001808619367794
ICE-D,western europe,2028,4942.802919178087,7.420129500527649,1919.4,2239.3,Q2,10000,35,0.9843515869230853,0.34452305542307987
ICE-D,western europe,2028,4942.802919178087,7.420129500527649,1919.4,2239.3,Q3,20000,20,0.5292764409641809,0.10585528819283618
ICE-D,western europe,2028,4942.802919178087,7.420129500527649,1919.4,2239.3,Q4,40000,10,0.3017388679847287,0.03017388679847287
CNG,western europe,2028,4712.9994526203645,5.4035621746193305,1435.85,1723.02,Q1,2500,35,3.20278340279434,1.1209741909780189
CNG,western europe,2028,4712.9994526203645,5.4035621746193305,1435.85,1723.02,Q2,10000,35,0.8412225670082298,0.2944278984528804
CNG,western europe,2028,4712.9994526203645,5.4035621746193305,1435.85,1723.02,Q3,20000,20,0.4476290943772116,0.08952581887544232
CNG,western europe,2028,4712.9994526203645,5.4035621746193305,1435.85,1723.02,Q4,40000,10,0.25083235806170245,0.025083235806170244
HEV,western europe,2028,4624.608921368184,7.960604989394553,1646.1850289702174,1346.8786600665414,Q1,2500,35,3.126675094055923,1.094336282919573
HEV,western europe,2028,4624.608921368184,7.960604989394553,1646.1850289702174,1346.8786600665414,Q2,10000,35,0.8413733109344399,0.294480658827054
HEV,western europe,2028,4624.608921368184,7.960604989394553,1646.1850289702174,1346.8786600665414,Q3,20000,20,0.46048968041419275,0.09209793608283855
HEV,western europe,2028,4624.608921368184,7.960604989394553,1646.1850289702174,1346.8786600665414,Q4,40000,10,0.27004786515406914,0.027004786515406914
PHEV,western europe,2028,5395.913411440177,4.617793952162848,1746.127378073518,1222.2891646514627,Q1,2500,35,3.3919099211876915,1.187168472415692
PHEV,western europe,2028,5395.913411440177,4.617793952162848,1746.127378073518,1222.2891646514627,Q2,10000,35,0.8826109349381442,0.3089138272283505
PHEV,western europe,2028,5395.913411440177,4.617793952162848,1746.127378073518,1222.2891646514627,Q3,20000,20,0.4643944372298863,0.09287888744597726
PHEV,western europe,2028,5395.913411440177,4.617793952162848,1746.127378073518,1222.2891646514627,Q4,40000,10,0.2552861883757574,0.025528618837575737
BEV,western europe,2028,5007.332207997567,2.5845427522108797,1904.6257242554366,1142.7754345532621,Q1,2500,35,3.247738774244615,1.1367085709856153
BEV,western europe,2028,5007.332207997567,2.5845427522108797,1904.6257242554366,1142.7754345532621,Q2,10000,35,0.8313187642027354,0.2909615674709574
BEV,western europe,2028,5007.332207997567,2.5845427522108797,1904.6257242554366,1142.7754345532621,Q3,20000,20,0.4285820958624221,0.08571641917248442
BEV,western europe,2028,5007.332207997567,2.5845427522108797,1904.6257242554366,1142.7754345532621,Q4,40000,10,0.22721376169226545,0.022721376169226547
FCEV,western europe,2028,4718.8868831894315,7.093227620859839,1743.9246134111208,1395.1396907288968,Q1,2500,35,3.2141127511403775,1.124939462899132
FCEV,western europe,2028,4718.8868831894315,7.093227620859839,1743.9246134111208,1395.1396907288968,Q2,10000,35,0.8567273949415433,0.29985458822954014
FCEV,western europe,2028,4718.8868831894315,7.093227620859839,1743.9246134111208,1395.1396907288968,Q3,20000,20,0.4638298355750708,0.09276596711501416
FCEV,western europe,2028,4718.8868831894315,7.093227620859839,1743.9246134111208,1395.1396907288968,Q4,40000,10,0.2673810558918346,0.026738105589183457
ICE-G,western europe,2029,4788.292043305061,8.844232143217347,1859.4,2169.3,Q1,2500,35,3.615239138754198,1.2653336985639692
ICE-G,western europe,2029,4788.292043305061,8.844232143217347,1859.4,2169.3,Q2,10000,35,0.9701415257626795,0.3395495340169379
ICE-G,western europe,2029,4788.292043305061,8.844232143217347,1859.4,2169.3,Q3,20000,20,0.5292919235974265,0.1058583847194853
ICE-G,western europe,2029,4788.292043305061,8.844232143217347,1859.4,2169.3,Q4,40000,10,0.3088671225148,0.030886712251479997
ICE-D,western europe,2029,4942.802919178087,7.622555873456258,1919.4,2239.3,Q1,2500,35,3.716826726405798,1.3008893542420292
ICE-D,western europe,2029,4942.802919178087,7.622555873456258,1919.4,2239.3,Q2,10000,35,0.9863758506523714,0.34523154772833003
ICE-D,western europe,2029,4942.802919178087,7.622555873456258,1919.4,2239.3,Q3,20000,20,0.531300704693467,0.1062601409386934
ICE-D,western europe,2029,4942.802919178087,7.622555873456258,1919.4,2239.3,Q4,40000,10,0.3037631317140148,0.030376313171401482
CNG,western europe,2029,4712.9994526203645,5.457597796365524,1435.85,1723.02,Q1,2500,35,3.2033237590118016,1.1211633156541305
CNG,western europe,2029,4712.9994526203645,5.457597796365524,1435.85,1723.02,Q2,10000,35,0.8417629232256918,0.29461702312899213
CNG,western europe,2029,4712.9994526203645,5.457597796365524,1435.85,1723.02,Q3,20000,20,0.4481694505946735,0.0896338901189347
CNG,western europe,2029,4712.9994526203645,5.457597796365524,1435.85,1723.02,Q4,40000,10,0.2513727142791644,0.02513727142791644
HEV,western europe,2029,4622.565441547121,8.040211039288497,1645.4576278114087,1346.2835136638796,Q1,2500,35,3.1261247436018484,1.094143660260647
HEV,western europe,2029,4622.565441547121,8.040211039288497,1645.4576278114087,1346.2835136638796,Q2,10000,35,0.8418327686951259,0.2946414690432941
HEV,western europe,2029,4622.565441547121,8.040211039288497,1645.4576278114087,1346.2835136638796,Q3,20000,20,0.4611174395440054,0.09222348790880108
HEV,western europe,2029,4622.565441547121,8.040211039288497,1645.4576278114087,1346.2835136638796,Q4,40000,10,0.27075977496844517,0.027075977496844518
PHEV,western europe,2029,5387.739492155916,4.681202176699216,1743.4822829505772,1220.4375980654038,Q1,2500,35,3.387475771035751,1.1856165198625128
PHEV,western europe,2029,5387.739492155916,4.681202176699216,1743.4822829505772,1220.4375980654038,Q2,10000,35,0.8819779590841819,0.30869228567946366
PHEV,western europe,2029,5387.739492155916,4.681202176699216,1743.4822829505772,1220.4375980654038,Q3,20000,20,0.464394990425587,0.0928789980851174
PHEV,western europe,2029,5387.739492155916,4.681202176699216,1743.4822829505772,1220.4375980654038,Q4,40000,10,0.25560350609628957,0.025560350609628957
